Indicator_name,Provenance,Date,File_name,Include in synthesis,Do plots,Regions available?,WhyLeaveOutFromSlopeSynthesis,SupersededBy,DataColumn,CoreHighlightOther,WholeOrPartOfIndicatorData,HiOrLoBetter,Name_for_plot,ebvClass,EbvClass_reason,ebvScale,Representative_fundamental,Sensitive,Underpin_NCP,PristineValue,AllGoneValue,Rescaled name,TMF,PlotColour,FillColour,GlobalNoPartlyYes,Detail available at,Notes
BII (Indigenous Lands),Sam overlay,19/11/2018,ipl_bii.csv,Yes,Yes,Yes,,,2,Core,Part,High,Biodiversity Intactness Index (Indigenous Lands),Community composition,,1. Local,Yes,No,No,1,0,,T,brown,white,Yes,,AP typed these in from the projection output
cSAR Local results aggregated to Global all birds,SSP modelling group iDiv shared drive,01/01/2018,csar_iDiv_Allbirds_Localtoglobal.csv,Yes,Yes,Yes,,,3,Other,Whole,High,Bird species per grid cell (cSAR),Community composition,,0. Regional,Yes,No,No,NA,0,,T,brown,brown,Yes,,
cSAR Local results aggregated to Global forest specialists,SSP modelling group iDiv shared drive,01/01/2018,csar_iDiv_forestspec_Localtoglobal.csv,Yes,Yes,Yes,,,3,Other,Part,High,Forest-specialist bird species per grid cell (cSAR),Community composition,,0. Regional,No,Yes,No,NA,0,,T,brown,white,Yes,,
Madingley temporal beta diversity change from1901 aggregated using arithmetic mean,SSP modelling group iDiv shared drive,01/01/2018,Madingley_Beta_ArithMean.csv,No,No,Yes,,Madingley_functional_dissimilarity_revised1018.csv,3,Other,Whole,High,Functional intactness (Madingley),Community composition,,0. Regional,Yes,No,No,NA,0,,,,,Yes,,Is the All-Gone Value correct?
Madingley temporal beta diversity change from 1901 aggregated using geometric mean,SSP modelling group iDiv shared drive,01/01/2018,Madingley_Beta_GeomMean.csv,No,No,Yes,Redundant wrt arithmetic mean,,2,Other,Whole,Low,,Community composition,,0. Regional,Yes,No,No,,,,,,,Yes,,Is the All-Gone Value correct?
Madingley functional turnover aggregated using arithmetic mean,SSP modelling group iDiv shared drive,01/01/2018,Madingley_Turnover_ArithMean.csv,No,No,Yes,I don't understand clearly enough how it is distinct from temporal beta diversity,,3,Other,Whole,High,Functional persistence (Madingley),Community composition,,0. Regional,Yes,No,No,NA,0,,,,,Yes,,Is the All-Gone Value correct?
Madingley functional turnover aggregated using geometric mean,SSP modelling group iDiv shared drive,01/01/2018,Madingley_Turnover_GeomMean.csv,No,No,Yes,Lots of zeroes so looks very odd!,,2,Other,Whole,Low,,Community composition,,0. Regional,Yes,No,No,,,,,,,Yes,,
Madingley functional diversity aggregated using geometric mean,SSP modelling group iDiv shared drive,01/01/2018,Madingley_Richness_GeomMean.csv,No,No,Yes,Redundant wrt arithmetic mean,,2,Other,Whole,High,,Community composition,,0. Regional,Yes,No,No,,,,,,,Yes,,
PREDICTS SR-weighted mean local species richness (global),SSP modelling group iDiv shared drive,29/10/2018,SR_weighted_900_2014_global.csv,Yes,Yes,Yes,,,2,Core,Whole,High,Local species richness (PREDICTS),Community composition,,1. Local,Yes,No,No,1,0,,T,brown,brown,Yes,,
AIM species richness - all taxa,SSP modelling group iDiv shared drive,01/01/2018,AIM_LUCCmodels_allonly.csv,No,No,Yes,Results are nonsense,,2,Other,Whole,High,,Community composition,,0. Regional,Yes,No,No,NA,0,,T,brown,brown,Yes,,
Change in grid-cell species richness (all taxa) - AIM,oharu0429@gmail.com,15/11/2018,AIM_LUCC_proportionalchange_grid_cell_2015_1970_190015.11.18.csv,Yes,Yes,?,,,2,Other,Whole,High,Species richness per grid cell (AIM),Community composition,,0. Regional,Yes,No,No,NA,0,,T,brown,brown,Yes,,
Change in grid-cell species richness (plants - AIM,oharu0429@gmail.com,15/11/2018,AIM_LUCC_proportionalchange_grid_cell_2015_1970_190015.11.18.csv,No,Yes,?,,,3,Other,Part,High,Plant grid-cell species richness (AIM),Community composition,,0. Regional,Yes,No,No,NA,0,,T,brown,white,Yes,,
Change in grid-cell species richness (amphibians) - AIM,oharu0429@gmail.com,15/11/2018,AIM_LUCC_proportionalchange_grid_cell_2015_1970_190015.11.18.csv,No,Yes,?,,,4,Other,Part,High,Amphibian grid-cell species richness (AIM),Community composition,,0. Regional,Yes,Yes,No,NA,0,,T,brown,white,Yes,,
Change in grid-cell species richness (reptiles) - AIM,oharu0429@gmail.com,15/11/2018,AIM_LUCC_proportionalchange_grid_cell_2015_1970_190015.11.18.csv,No,Yes,?,,,5,Other,Part,High,Reptile grid-cell species richness (AIM),Community composition,,0. Regional,Yes,No,No,NA,0,,T,brown,white,Yes,,
Change in grid-cell species richness (birds) - AIM,oharu0429@gmail.com,15/11/2018,AIM_LUCC_proportionalchange_grid_cell_2015_1970_190015.11.18.csv,No,Yes,?,,,6,Other,Part,High,Bird grid-cell species richness (AIM),Community composition,,0. Regional,Yes,No,No,NA,0,,T,brown,white,Yes,,
Change in grid-cell species richness (mammals) - AIM,oharu0429@gmail.com,15/11/2018,AIM_LUCC_proportionalchange_grid_cell_2015_1970_190015.11.18.csv,No,Yes,?,,,7,Other,Part,High,Mammal grid-cell species richness (AIM),Community composition,,0. Regional,Yes,No,No,NA,0,,T,brown,white,Yes,,
NPP_eco (Pg C),Sam Hill,27/03/2018,NPP_eco.csv,Yes,Yes,Yes,,,2,Other,Whole,High,NPP remaining in ecosystems,Ecosystem function,NPP is listed explicitly: http://geobon.org/essential-biodiversity-variables/classes/,,Yes,No,No,52221669,0,,T,brown,brown,Yes,,
Terrestrial Net Primary Productivity (PgC),Zhao & Running (2010 Science),30/05/2017,Terrestrial_NPP_PgC.csv,Yes,Yes,,,,2,Other,Whole,High,Terrestrial NPP (remote-sensing),Ecosystem function,,,Yes,No,Yes,,0,,,brown,brown,,,Data emailed by Kazu Ichii 2017-05-30
Ocean Net Primary Productivity (PgC),"Behrenfeld, MJ, PG Falkowski (1997) Limnology and Oceanography [method]",31/05/2017,Ocean_NPP_PgC.csv,Yes,Yes,,,,2,Other,Whole,High,Marine NPP (remote sensing),Ecosystem function,,,Yes,No,Yes,,0,,,blue,blue,,,Data emailed by Kazu Ichii 2017-05-31
Terrestrial carbon sink PgC,Kazu,16/03/2018,Terrestrial_carbon_sink.csv,No,No,?,Superseded,Terrestrial NBP (TRENDY),2,Other,Whole,High,Terrestrial carbon sequestration,Ecosystem function,,,Yes,No,Yes,NA,0,,T,brown,brown,Yes,,
Ocean carbon sink PgC,Kazu,16/03/2018,Ocean_carbon_sink.csv,Yes,Yes,?,,,2,Other,Whole,High,Oceanic carbon sequestration,Ecosystem function,,,Yes,No,Yes,NA,NA,,M,blue,blue,Yes,,
Biological pump efficiency,Cael et al. 2017 https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.1002/lol2.10042,22/10/2018,Biological_pump_annual.csv,Yes,Yes,No,,,2,Other,Whole,High,Biological pump efficiency,Ecosystem function,,,Yes,No,No,NA,0,,M,blue,blue,Yes,,Trend is very statistically significant in each of the 6 models whose average is this
Biomass turnover rate,Erb et al. 2016,28/03/2018,Biomass_turnover_rate.csv,Yes,Yes,Yes,,,3,Other,Whole,High,Biomass turnover rate,Ecosystem function,,,Yes,No,No,0.072463768,0,,T,brown,brown,Yes,,"Pristine value is from supp mat, table S11"
Terrestrial NPP (TRENDY),Kazu,28/03/2018,Terrestrial_NPP_NBP_TRENDY.csv,Yes,Yes,No,,Trendy_Indicators_20181104_1860to2015.csv,2,Other,Whole,High,Terrestrial NPP (TRENDY),Ecosystem function,,,Yes,No,No,52.221669,0,,T,brown,brown,Yes,,
Terrestrial NBP (TRENDY),Kzu,28/03/2018,Terrestrial_NPP_NBP_TRENDY.csv,Yes,Yes,No,,Trendy_Indicators_20181104_1860to2015.csv,3,Other,Whole,High,Terrestrial carbon sequestration,Ecosystem function,,,Yes,No,Yes,NA,NA,,T,brown,brown,Yes,,
Percentage live coral cover,Sarah Darrah Ch3,23/02/2018,coral cover data.csv,Yes,Yes,?,,,2,Other,Whole,High,Percentage live coral cover,Ecosystem structure,,,Yes,Yes,No,59,0,,M,blue,blue,Yes,,
Area of tree cover loss (ha),Sarah Darrah Ch3,23/02/2018,GFW.csv,No,No,Yes,,Trends in forest extent (tree cover),2,???,Whole,Low,,Ecosystem structure,Ecosystem extent and fragmentation is explicitly listed under this class at http://geobon.org/essential-biodiversity-variables/classes/,,Yes,No,No,0,,,T,brown,brown,Yes,,Omitted as a measure of pressure
Area of mangrove forest cover (km2),Sarah Darrah Ch3,23/02/2018,mangrove_forest.csv,Yes,Yes,?,,,2,Other,Whole,High,Mangrove forest area,Ecosystem structure,Ecosystem extent and fragmentation: http://geobon.org/essential-biodiversity-variables/classes/,,Yes,Yes,No,346432.0369,0,,M,blue,blue,Yes,,
Percentage natural habitat extent,Sarah Darrah Ch3,23/02/2018,Percent_land_area_natural_habitat_revised2011data.csv,Yes,Yes,?,,,2,Other,Whole,High,Natural habitat extent,Ecosystem structure,Ecosystem extent and fragmentation: http://geobon.org/essential-biodiversity-variables/classes/,,Yes,No,No,100,0,,T,brown,brown,Yes,,
Water footprint (Human appropriation of fresh water),Sarah Darrah Ch3,23/02/2018,Water footprint.csv,No,No,?,,,2,Core,Whole,Low,,Ecosystem structure,,,Yes,No,No,0,NA,,F,orange,orange,Yes,,
Wetland Extent Trends Index,Sarah Darrah Ch3,23/02/2018,wetindex.csv,Yes,Yes,,,,2,Highlight,Whole,High,Wetland Extent Trends Index,Ecosystem structure,,,Yes,Yes,No,NA,0,,F,orange,orange,Yes,,See Google Doc for justification of Pristine value
Global wilderness extent (km2),Watson et al. 2016 Curr Biol,,Global_wilderness_extent_km2.csv,Yes,Yes,?,,,2,Other,Whole,High,Extent of terrestrial wilderness,Ecosystem structure,,,No,Yes,No,129741000,0,Proportion wilderness,T,brown,brown,Yes,,See Google Doc for justification of pristine value
Intact Forest Landscape extent,Potapov et al. 2017 Science Advances,,IntactForestLandscapeExtent.csv,Yes,Yes,,,,2,Other,Whole,High,Extent of intact forest landscapes,Ecosystem structure,,,No,Yes,No,59105082,0,Proportion of remaining intact forest,T,brown,brown,Yes,,See Google Doc for justification of pristine value
Aboveground biomass (PgC),Liu et al. (2015) Nature Climate Change,29/05/2017,Aboveground_biomass_PgC.csv,Yes,Yes,?,,,2,Other,Whole,High,Aboveground biomass,Ecosystem structure,Kazu's advice,,Yes,No,Yes,NA,0,,T,brown,brown,Yes,,See Google Doc for justification of Pristine value
Biodiversity Habitat Index (forest biomes only),Simon Ferrier,02/03/2018,Global_BHI_Average.csv,Yes,Yes,Yes,,BHI_plants.csv,2,Core,Whole,High,Biodiversity Habitat Index (forest biomes),Ecosystem structure,This is a measure of habitat condition rather than a species-based measure; see email from Simon Ferrier,,Yes,No,No,1,0,,T,brown,brown,Yes,,These data were emailed by Simon Ferrier
Forest area as a percentage of total land area,TSU,02/03/2018,FA_180302_derived.csv,Yes,Yes,Yes,,,2,Core,Whole,High,Extent of forests,Ecosystem structure,,,No,No,Yes,0.45,0,,T,brown,brown,Yes,,Pristine value is from FAO 2012 State of the world's forests
Trends in forest extent (tree cover),Hansen et al. 2013 supplementary information,12/03/2018,HansenTreeCoverExtent.csv,Yes,Yes,Yes,,TreeCoverChange_Song.csv,2,Core,Whole,High,Extent of forests (remote-sensing),Ecosystem structure,,,No,No,Yes,59105082.23,0,,T,brown,brown,Yes,,"I did not use the TSU file as it measured only loss, not net loss, so instead calculated extent for 2000 and 2012 from Hansen. The same process could to an extent be done regionally but would be fiddly. A pristine value for global extent of forest would allow this to be put on a 0-1 scale"
Percentage primary LUH2,LUH2 Ricardo,01/12/2017,percent_primary_LUH2_900_2015.csv,Yes,Yes,Yes,,,2,Other,Whole,High,Remaining primary vegetation,Ecosystem structure,,,Yes,No,No,100,0,,T,brown,brown,Yes,http://luh.umd.edu/data.shtml,
Land not cropland or urban (overall),Aidin Niamir,26/03/2018,Extent_UoA_reshaped.csv,Yes,Yes,Yes,,,2,Other,Whole,High,Land not cultivated or urban (global),Ecosystem structure,,,Yes,No,No,131.569905,0,,T,brown,brown,Yes,,
Land not cropland or urban - tropical forests,,,Extent_UoA_reshaped.csv,No,Yes,Yes,,,3,Other,Part,High,Land not cultivated or urban (UoA: tropical forest),Ecosystem structure,,,Yes,No,No,23.494282,0,,T,brown,white,Yes,,
Land not cropland or urban - temperate forests,,,Extent_UoA_reshaped.csv,No,Yes,Yes,,,4,Other,Part,High,Land not cultivated or urban (UoA: temperate forest),Ecosystem structure,,,Yes,No,No,32.043982,0,,T,brown,white,Yes,,
Land not cropland or urban - Mediterranean forests,,,Extent_UoA_reshaped.csv,No,Yes,Yes,,,5,Other,Part,High,Land not cultivated or urban (UoA: Mediterranean forest),Ecosystem structure,,,Yes,No,No,3.220386,0,,T,brown,white,Yes,,
Land not cropland or urban - tundra & mountains,,,Extent_UoA_reshaped.csv,No,Yes,Yes,,,6,Other,Part,High,Land not cultivated or urban (UoA: tundra & mountains),Ecosystem structure,,,Yes,No,No,13.554884,0,,T,brown,white,Yes,,
Land not cropland or urban - tropical grassland,,,Extent_UoA_reshaped.csv,No,Yes,Yes,,,7,Other,Part,High,Land not cultivated or urban (UoA: tropical grassland),Ecosystem structure,,,Yes,No,No,20.177549,0,,T,brown,white,Yes,,
Land not cropland or urban - temperate grassland,,,Extent_UoA_reshaped.csv,No,Yes,Yes,,,8,Other,Part,High,Land not cultivated or urban (UoA: temperate grassland),Ecosystem structure,,,Yes,No,No,11.193144,0,,T,brown,white,Yes,,
Land not cropland or urban - deserts & drylands,,,Extent_UoA_reshaped.csv,No,Yes,Yes,,,9,Other,Part,High,Land not cultivated or urban (UoA: desert & dryland),Ecosystem structure,,,Yes,No,No,27.885678,0,,T,brown,white,Yes,,
Land not cropland or urban - hotspot,,,Extent_UoA_reshaped.csv,Yes,Yes,Yes,,,10,Other,Part,High,Land not cultivated or urban (Hotspots),Ecosystem structure,,,Yes,No,No,18.13,0,,T,brown,white,Yes,,
Land not cropland or urban - indigenous land,,,Extent_UoA_reshaped.csv,Yes,Yes,Yes,,,11,Other,Part,High,Land not cultivated or urban (Indigenous Lands),Ecosystem structure,,,Yes,No,No,38.12,0,,T,brown,white,Yes,,
Ocean not fished in given year,http://science.sciencemag.org/content/sci/359/6378/904.full.pdf,27/03/2018,FractionOceanNotFished.csv,Yes,Yes,?,,,2,Other,Whole,High,Fraction of ocean not fished per year,Ecosystem structure,,,Yes,Yes,No,100,0,,M,blue,blue,Yes,,Value from paper; other years had less good sampling
Extent and condition of natural coastal carbon sinks,coastal_C_sink_habitats.csv,28/03/2018,coastal_C_sink_habitats.csv,Yes,Yes,Yes,,,2,Other,Part,High,Coastal carbon-rich habitat,Ecosystem structure,,,Yes,Yes,Yes,NA,0,,M,blue,white,Yes,,coastal_C_sink_habitats.csv
Extent and condition of coastal protection habitats,http://www.oceanhealthindex.org/methodology/goals/coastal-protection,28/03/2018,coastal_protection.csv,Yes,Yes,Yes,,,2,Other,Whole,High,Coastal protection habitats,Ecosystem structure,,,Yes,Yes,Yes,NA,0,,M,blue,blue,Yes,,http://www.oceanhealthindex.org/methodology/goals/coastal-protection
Soil organic carbon,LDRA,02/04/2018,SoilOrganicCarbon.csv,Yes,Yes,Yes,,,2,Other,Whole,High,Soil organic carbon (correlative model),Ecosystem structure,,,Yes,No,No,2200,0,,T,brown,brown,Yes,,See google doc for baseline
Percentage of terrestrial domesticated animal breeds at risk,Sarah Darrah Ch3,23/02/2018,Gen_div_terr_dom_percentage.csv,No,No,?,Time series can't be trusted,,2,Core,Whole,Low,,Genetic composition,Breed and variety diversity is explicitly listed under this class at http://geobon.org/essential-biodiversity-variables/classes/,,No,No,Yes,0,100,,T,brown,brown,Yes,,"Omitted as the time series cannot be taken at face value, according to the provider"
Living Planet Index (overall),Sarah Darrah Ch3,23/02/2018,Global_LPI.csv,Yes,Yes,?,,,2,Highlight,Whole,High,Living Planet Index (overall),Species populations,Population abundance: http://geobon.org/essential-biodiversity-variables/classes/,1. Abundance,Yes,No,No,NA,0,,TFM,black,black,Yes,,
Proportion of fish stocks within biologically sustainable levels,Sarah Darrah Ch3,23/02/2018,Proportion_fish_stocks_safe_biological_limits.csv,Yes,Yes,?,,,2,Core,Whole,High,Fish stocks biologically sustainable,Species populations,,1. Abundance,No,No,Yes,100,0,,M,blue,blue,Yes,,
Red List Index (species used for food and medicine) ,Sarah Darrah Ch3,23/02/2018,RLI_fdmd.csv,No,No,?,Includes interpolated data,RLI_fdmd_reduced.csv,2,Core,Part,High,,Species populations,,3. Existence,No,No,Yes,1,0,,,brown,white,Yes,,Dropped as this data set contains spurious (interpolated) values; replaced by next row in table
Red List Index (species used for food and medicine) ,Sarah Darrah Ch3,23/02/2018,RLI_fdmd_reduced.csv,Yes,Yes,?,,,2,Core,Part,High,RLI (species used in food & medicine),Species populations,,3. Existence,No,No,Yes,1,0,,,brown,white,Yes,,
Red List Index (impacts of fisheries),Sarah Darrah Ch3,23/02/2018,RLI_fish2.csv,No,Yes,?,Is a subset of overall RLI so must be less steep,,2,Core,Part,High,Red List Index (impacts of fisheries),Species populations,,3. Existence,No,No,No,1,0,,M,blue,white,Yes,,
Red List index (forest specialists),Sarah Darrah Ch3,23/02/2018,rli_forestspecialists.csv,Yes,Yes,?,,,2,Core,Part,High,RLI (forest specialists),Species populations,,3. Existence,No,Yes,No,1,0,,T,brown,white,Yes,,
Red List Index (impacts of invasive alien species),Sarah Darrah Ch3,23/02/2018,RLI_IAS.csv,No,Yes,?,Is a subset of overall RLI so must be less steep,,2,Core,Part,High,Red List Index (impacts of invasive alien species),Species populations,,3. Existence,No,No,No,1,0,,,,white,Yes,,
Red List Index (pollinator species) ,Sarah Darrah Ch3,23/02/2018,RLI_pollinat.csv,Yes,Yes,?,,,2,Core,Part,High,RLI (pollinators),Species populations,,3. Existence,No,No,Yes,1,0,,T,brown,white,Yes,,
Red List Index (impacts of pollution),Sarah Darrah Ch3,23/02/2018,RLI_pollut.csv,No,Yes,?,Is a subset of overall RLI so must be less steep,,2,Core,Part,High,Red List Index (impacts of pollution),Species populations,,3. Existence,No,No,No,1,0,,,,white,Yes,,
Red List Index (internationally traded species),Sarah Darrah Ch3,23/02/2018,RLI_tradedspp.csv,Yes,Yes,?,,,2,Core,Part,High,RLI (internationally traded birds),Species populations,,3. Existence,No,No,Yes,1,0,,,brown,white,Yes,,
Red List Index (impacts of utilisation),Sarah Darrah Ch3,23/02/2018,RLI_utilization.csv,No,Yes,?,Is a subset of overall RLI so must be less steep,,2,Core,Part,High,Red List Index (impacts of utilisation),Species populations,,3. Existence,No,No,Yes,1,0,,,,white,Yes,,
Red List Index (wild relatives of farmed and domesticated species) ,Sarah Darrah Ch3,23/02/2018,RLI_wildrelatives.csv,Yes,Yes,?,,,2,Core,Part,High,RLI (wild relatives),Species populations,,3. Existence,No,No,Yes,1,0,,T,brown,white,Yes,,
Red List Index,Sarah Darrah Ch3,23/02/2018,RLI.csv,Yes,Yes,?,,,2,Core,Whole,High,Red List Index (overall),Species populations,,3. Existence,Yes,No,No,1,0,,TFM,black,black,Yes,,
Wild Bird Index (farmland birds),Sarah Darrah Ch3,23/02/2018,WBI_farm.csv,No,No,Europe,Only one region; too parochial,,2,Other,Part,High,,Species populations,,1. Abundance,No,No,No,NA,0,,T,,white,No,,"Omitted as only relates to a single region (Europe), so not a global indicator"
Wild Bird Index (habitat specialists),Sarah Darrah Ch3,23/02/2018,WBI_habitat.csv,Yes,Yes,,,,2,Other,Whole,High,Wild Bird Index (habitat specialists),Species populations,,1. Abundance,No,Yes,No,NA,0,,T,brown,brown,No,,
Numbers of extant mammal and bird species,See notes,,extant.mammals.and.birds.csv,Yes,Yes,,,,3,Highlight,Whole,High,Global mammal & bird species remaning,Species populations,,3. Existence,Yes,No,No,16796,0,Proportion of mammal and bird species extant,TFM,black,black,Yes,http://science.sciencemag.org/content/sci/suppl/2014/10/01/science.1257484.DC1/Tittensor.SM.pdf,Not the data Sarah Darrah gave me
Species Habitat Index,TSU,02/03/2018,SHI_180302_derived.csv,Yes,Yes,Yes,,,2,Core,Whole,High,Species Habitat Index,Species populations,,2. Range,Yes,No,No,NA,0,,T,brown,brown,Yes,,These are the area-weighted mean values including overseas territories.
Fraction of global plant species remaining (BILBI),SSP modelling group iDiv shared drive,01/01/2018,BILBI_ArithMean.csv,Yes,Yes,Yes,,BHI_plants.csv,2,Core,Whole,High,Global plant species remaining (BILBI),Species populations,This is a richness version I think rather than habitat,3. Existence,Yes,No,No,1,0,,T,brown,brown,Yes,,
cSAR Global calculation all birds,SSP modelling group iDiv shared drive,01/01/2018,csar_iDiv_Allbirds_Global.csv,Yes,Yes,Yes,,,3,Other,Whole,High,Global bird richness (cSAR),Species populations,,3. Existence,Yes,No,No,100,0,,T,brown,brown,Yes,,
cSAR Global calculation forest specialists,SSP modelling group iDiv shared drive,01/01/2018,csar_iDiv_forestspec_Global.csv,Yes,Yes,Yes,,,3,Other,Part,High,Global forest-specialist bird richness (cSAR),Species populations,,3. Existence,No,Yes,No,100,0,,T,brown,white,Yes,,
Invertebrate abundance [placeholder],Dirzo 2014 Science Fig 1C,26/03/2018,Dirzo2014_by_eye.csv,No,No,No,Too concentrated in N temperate regions; will mention in text instead,,2,Other,Whole,High,Invertebrate abundance [placeholder],Species populations,,1. Abundance,Yes,No,No,NA,0,,T,,,Yes,,By eye; have asked for data
Predatory sea fish biomass,,28/03/2018,fish_biomass.csv,Yes,Yes,Yes,,,2,Other,Whole,High,Predatory fish biomass,Species populations,,1. Abundance,No,Yes,Yes,NA,0,,M,blue,blue,Yes,,
Prey sea fish biomass,,28/03/2018,fish_biomass.csv,Yes,Yes,Yes,,,3,Other,Whole,High,Prey fish biomass,Species populations,,1. Abundance,No,No,No,NA,0,,M,blue,blue,Yes,,
Terrestrial mammal grid cells,Faurby & Svenning 2015,05/04/2018,FaurbyMammalGridOccurrences.csv,Yes,Yes,Yes,,,2,Other,Whole,High,Mammalian range size,Species populations,,2. Range,Yes,No,No,1298365,0,,T,brown,brown,Yes,,
Terrestrial megafaunal grid cells,Faurby & Svenning 2015,05/04/2018,FaurbyMammalGridOccurrences.csv,Yes,Yes,Yes,,,3,Other,Part,High,Megafaunal range size,Species populations,,2. Range,No,Yes,No,242960,0,,T,brown,white,Yes,,
Extent of Suitable Habitat,Piero Visconti email,07/08/2018,ExtentOfSuitableHabitatMammals.csv,Yes,Yes,No,,,2,Other,Whole,High,Extent of suitable habitat (mammals),Species populations,,2. Range,Yes,No,No,NA,0,,T,brown,brown,Yes,,This is for all terrestrial mammals
Marine Trophic Index,http://www.seaaroundus.org/data/#/global/marine-trophic-index,,Global_marine-trophic-index_v45-1.csv,Yes,Yes,,,,2,Core,Whole,High,Marine Trophic Index,Species traits,Trophic level is a trait,,No,No,Yes,NA,1,,M,blue,blue,Yes,http://www.seaaroundus.org/regional-mti-tools/,"This is RMTI, i.e., region-based MTI, as that is robust against expansion of fished area"
Mean length of fish,Shin et al. 2010,,,No,No,?,No data ever provided,,,Highlight,Whole,High,,Species traits,,,Yes,No,Yes,,0,,M,,,Yes,,
Madingley functional diversity aggregated using arithmetic mean,SSP modelling group iDiv shared drive,01/01/2018,Madingley_Richness_ArithMean.csv,Yes,Yes,Yes,,superseded by Madingley functional richness,2,Other,Whole,High,Mean functional diversity (Madingley),Species traits,,,Yes,No,No,NA,0,,,brown,brown,Yes,,Can Mike Harfoot give a rpistine value?
Proportion predatory fish,lynne.shannon@uct.ac.za,27/03/2018,Prop_pred_fish_Southern_benguela_only.csv,No,No,?,Data were only ever single region,,2,Other,Whole,High,Proportion of predatory fish [placeholder],Species traits,Trophic level,,No,Yes,Yes,NA,0,,M,blue,blue,No,,Example of dataset - global to come
Leaf Area Index,https://link.springer.com/content/pdf/10.1007%2Fs11442-010-0323-6.pdf,29/03/2018,LAI.csv,Yes,Yes,No,,LAI_gimms3g.csv,2,Other,Whole,High,Leaf Area Index,Species traits,Kathy overriding Kazu over-riding table in https://zslpublications.onlinelibrary.wiley.com/doi/pdf/10.1002/rse2,,Yes,No,No,NA,0,,T,brown,brown,Yes,,
Median mammalian body mass,Santini et al. 2017,04/04/2018,GridCellMedianBodyMass.csv,Yes,Yes,?,,,2,Other,Whole,High,Mammalian body mass,Species traits,,,Yes,Yes,No,677.025,0,,T,brown,brown,Yes,,
Freshwater LPI,,,Freshwater_LPI.csv,Yes,Yes,,,,2,Other,Part,High,Living Planet Index (freshwater),Species populations,,1. Abundance,Yes,Yes,No,NA,0,,F,orange,white,Yes,,
